"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"35907611000001101","3086011000001108","Beclometasone 100microgram inhalation powder blisters","Beclometasone","Becodisks 100microgram (GlaxoSmithKline UK Ltd)"
"35907711000001105","3088611000001100","Beclometasone 100microgram inhalation powder blisters with device","Beclometasone","Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd)"
"39695511000001104","3189711000001107","Beclometasone 100microgram inhalation powder capsules","Beclometasone","Beclometasone 100 Cyclocaps (Teva UK Ltd)"
"39695511000001104","3190311000001103","Beclometasone 100microgram inhalation powder capsules","Beclometasone","Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"39695511000001104","5525411000001107","Beclometasone 100microgram inhalation powder capsules","Beclometasone","Becotide 100microgram Rotacaps (Dowelhurst Ltd)"
"35907811000001102","3181411000001102","Beclometasone 100micrograms/dose breath actuated inhaler","Beclometasone","AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)"
"35907811000001102","3181711000001108","Beclometasone 100micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd)"
"35907811000001102","13180411000001105","Beclometasone 100micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 100 Easi-Breathe inhaler (Dowelhurst Ltd)"
"35907911000001107","3177711000001108","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Teva UK Ltd)"
"35907911000001107","8159711000001102","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)"
"35907911000001107","14616311000001102","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Sigma Pharmaceuticals Plc)"
"35907911000001107","14755711000001106","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Waymade Healthcare Plc)"
"35907911000001107","15418911000001106","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100micrograms/dose Easi-Breathe inhaler (Waymade Healthcare Plc)"
"35907911000001107","16232011000001103","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Lexon (UK) Ltd)"
"35907911000001107","17427211000001109","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Mawdsley-Brooks & Company Ltd)"
"35907911000001107","18058811000001106","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc)"
"35907911000001107","18295511000001100","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Stephar (U.K.) Ltd)"
"35907911000001107","18608111000001104","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (DE Pharmaceuticals)"
"35907911000001107","18608511000001108","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100micrograms/dose Easi-Breathe inhaler (DE Pharmaceuticals)"
"35907911000001107","37400911000001108","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (CST Pharma Ltd)"
"35907911000001107","37699711000001104","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 100 Autohaler (Pilsco Ltd)"
"35908011000001109","3112511000001109","Beclometasone 100micrograms/dose dry powder inhaler","Beclometasone","Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd)"
"35908011000001109","3112911000001102","Beclometasone 100micrograms/dose dry powder inhaler","Beclometasone","Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd)"
"42292311000001106","3177911000001105","Beclometasone 100micrograms/dose inhaler","Beclometasone","Filair 100 inhaler (Meda Pharmaceuticals Ltd)"
"42292311000001106","3178211000001102","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)"
"42292311000001106","3178411000001103","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"42292311000001106","3178611000001100","Beclometasone 100micrograms/dose inhaler","Beclometasone","Becotide 100 inhaler (GlaxoSmithKline UK Ltd)"
"42292311000001106","3178811000001101","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclazone 100 inhaler (Teva UK Ltd)"
"42292311000001106","3179011000001102","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)"
"42292311000001106","4773811000001101","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Teva UK Ltd)"
"42292311000001106","5256611000001108","Beclometasone 100micrograms/dose inhaler","Beclometasone","Becotide 100 inhaler (Waymade Healthcare Plc)"
"42292311000001106","7379111000001102","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Kent Pharma (UK) Ltd)"
"42292311000001106","11400511000001100","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd)"
"42292311000001106","17794111000001108","Beclometasone 100micrograms/dose inhaler","Beclometasone","Beclometasone 100micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)"
"35908111000001105","3175611000001106","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (Teva UK Ltd)"
"35908111000001105","10618211000001109","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd)"
"35908111000001105","13954711000001100","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (DE Pharmaceuticals)"
"35908111000001105","14616611000001107","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (Sigma Pharmaceuticals Plc)"
"35908111000001105","15884311000001105","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (Waymade Healthcare Plc)"
"35908111000001105","17427011000001104","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (Mawdsley-Brooks & Company Ltd)"
"35908111000001105","19737311000001104","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 100micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd)"
"35908111000001105","35430311000001103","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Kelhale 100micrograms/dose inhaler (Cipla EU Ltd)"
"35908111000001105","36603611000001108","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"35908111000001105","37444611000001101","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (CST Pharma Ltd)"
"35908111000001105","37727811000001101","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Qvar 100 inhaler (Pilsco Ltd)"
"35908111000001105","41475411000001100","Beclometasone 100micrograms/dose inhaler CFC free","Beclometasone","Beclu 100micrograms/dose inhaler (Lupin Healthcare (UK) Ltd)"
"35908211000001104","3099811000001109","Beclometasone 200microgram inhalation powder blisters","Beclometasone","Becodisks 200microgram (GlaxoSmithKline UK Ltd)"
"35908211000001104","10838111000001101","Beclometasone 200microgram inhalation powder blisters","Beclometasone","Becodisks 200microgram (Waymade Healthcare Plc)"
"35908211000001104","16140411000001105","Beclometasone 200microgram inhalation powder blisters","Beclometasone","Becodisks 200microgram (Lexon (UK) Ltd)"
"35908211000001104","16277711000001101","Beclometasone 200microgram inhalation powder blisters","Beclometasone","Becodisks 200microgram (Mawdsley-Brooks & Company Ltd)"
"35908211000001104","17600111000001105","Beclometasone 200microgram inhalation powder blisters","Beclometasone","Becodisks 200microgram (Necessity Supplies Ltd)"
"35908311000001107","3096011000001109","Beclometasone 200microgram inhalation powder blisters with device","Beclometasone","Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd)"
"39695611000001100","3192111000001101","Beclometasone 200microgram inhalation powder capsules","Beclometasone","Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"39695611000001100","3192611000001109","Beclometasone 200microgram inhalation powder capsules","Beclometasone","Beclometasone 200 Cyclocaps (Teva UK Ltd)"
"39695611000001100","5256411000001105","Beclometasone 200microgram inhalation powder capsules","Beclometasone","Becotide 200microgram Rotacaps (Waymade Healthcare Plc)"
"39695611000001100","5284411000001107","Beclometasone 200microgram inhalation powder capsules","Beclometasone","Becotide 200microgram Rotacaps (Dowelhurst Ltd)"
"35908411000001100","3113411000001101","Beclometasone 200micrograms/dose dry powder inhaler","Beclometasone","Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd)"
"35908411000001100","9525111000001105","Beclometasone 200micrograms/dose dry powder inhaler","Beclometasone","Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"35908411000001100","38130411000001104","Beclometasone 200micrograms/dose dry powder inhaler","Beclometasone","Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (DE Pharmaceuticals)"
"35908511000001101","3179311000001104","Beclometasone 200micrograms/dose inhaler","Beclometasone","Becotide 200 inhaler (GlaxoSmithKline UK Ltd)"
"35908511000001101","3179511000001105","Beclometasone 200micrograms/dose inhaler","Beclometasone","Beclazone 200 inhaler (Teva UK Ltd)"
"35908511000001101","4332611000001107","Beclometasone 200micrograms/dose inhaler","Beclometasone","Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd)"
"35908511000001101","10844511000001104","Beclometasone 200micrograms/dose inhaler","Beclometasone","Becotide 200 inhaler (Waymade Healthcare Plc)"
"35908511000001101","15052211000001104","Beclometasone 200micrograms/dose inhaler","Beclometasone","Beclometasone 200micrograms/dose inhaler (Sigma Pharmaceuticals Plc)"
"10621011000001101","10619311000001107","Beclometasone 200micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd)"
"10621011000001101","19737511000001105","Beclometasone 200micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 200micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd)"
"10621011000001101","24591711000001104","Beclometasone 200micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 200micrograms/dose inhaler (Waymade Healthcare Plc)"
"10621011000001101","36603411000001105","Beclometasone 200micrograms/dose inhaler CFC free","Beclometasone","Soprobec 200micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"10621011000001101","41476211000001105","Beclometasone 200micrograms/dose inhaler CFC free","Beclometasone","Beclu 200micrograms/dose inhaler (Lupin Healthcare (UK) Ltd)"
"35908611000001102","3182411000001107","Beclometasone 250micrograms/dose breath actuated inhaler","Beclometasone","AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd)"
"35908611000001102","3182611000001105","Beclometasone 250micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd)"
"35908611000001102","13180811000001107","Beclometasone 250micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 250 Easi-Breathe inhaler (Dowelhurst Ltd)"
"35908711000001106","3174111000001102","Beclometasone 250micrograms/dose dry powder inhaler","Beclometasone","Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd)"
"35908811000001103","3179811000001108","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd)"
"35908811000001103","3180011000001102","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"35908811000001103","3180211000001107","Beclometasone 250micrograms/dose inhaler","Beclometasone","Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"35908811000001103","3180611000001109","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclazone 250 inhaler (Teva UK Ltd)"
"35908811000001103","3180911000001103","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)"
"35908811000001103","4753511000001101","Beclometasone 250micrograms/dose inhaler","Beclometasone","Filair Forte 250micrograms/dose inhaler (Meda Pharmaceuticals Ltd)"
"35908811000001103","4774011000001109","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Teva UK Ltd)"
"35908811000001103","5256011000001101","Beclometasone 250micrograms/dose inhaler","Beclometasone","Becloforte 250micrograms/dose inhaler (Waymade Healthcare Plc)"
"35908811000001103","5282711000001106","Beclometasone 250micrograms/dose inhaler","Beclometasone","Becloforte 250micrograms/dose inhaler (Dowelhurst Ltd)"
"35908811000001103","7379311000001100","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Kent Pharma (UK) Ltd)"
"35908811000001103","11400811000001102","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd)"
"35908811000001103","17833911000001100","Beclometasone 250micrograms/dose inhaler","Beclometasone","Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)"
"10621111000001100","10619611000001102","Beclometasone 250micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd)"
"10621111000001100","19737811000001108","Beclometasone 250micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 250micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd)"
"10621111000001100","24591911000001102","Beclometasone 250micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 250micrograms/dose inhaler (Waymade Healthcare Plc)"
"10621111000001100","36603811000001107","Beclometasone 250micrograms/dose inhaler CFC free","Beclometasone","Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"35908911000001108","3104911000001109","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becodisks 400microgram (GlaxoSmithKline UK Ltd)"
"35908911000001108","3105311000001107","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becloforte 400microgram disks (GlaxoSmithKline UK Ltd)"
"35908911000001108","10838311000001104","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becodisks 400microgram (Waymade Healthcare Plc)"
"35908911000001108","16140911000001102","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becodisks 400microgram (Lexon (UK) Ltd)"
"35908911000001108","16278211000001107","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becodisks 400microgram (Mawdsley-Brooks & Company Ltd)"
"35908911000001108","17600311000001107","Beclometasone 400microgram inhalation powder blisters","Beclometasone","Becodisks 400microgram (Necessity Supplies Ltd)"
"35909011000001104","3102211000001109","Beclometasone 400microgram inhalation powder blisters with device","Beclometasone","Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd)"
"35909011000001104","3103211000001103","Beclometasone 400microgram inhalation powder blisters with device","Beclometasone","Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"39695711000001109","3194011000001108","Beclometasone 400microgram inhalation powder capsules","Beclometasone","Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"39695711000001109","3194511000001100","Beclometasone 400microgram inhalation powder capsules","Beclometasone","Beclometasone 400 Cyclocaps (Teva UK Ltd)"
"35909111000001103","3175111000001103","Beclometasone 400micrograms/dose dry powder inhaler","Beclometasone","Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd)"
"35909211000001109","3604611000001104","Beclometasone 50micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd)"
"35909211000001109","3604911000001105","Beclometasone 50micrograms/dose breath actuated inhaler","Beclometasone","AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd)"
"35909211000001109","13181011000001105","Beclometasone 50micrograms/dose breath actuated inhaler","Beclometasone","Beclazone 50 Easi-Breathe inhaler (Dowelhurst Ltd)"
"35909311000001101","3177411000001102","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50 Autohaler (Teva UK Ltd)"
"35909311000001101","8159511000001107","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)"
"35909311000001101","18059011000001105","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc)"
"35909311000001101","18608311000001102","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50 Autohaler (DE Pharmaceuticals)"
"35909311000001101","18608711000001103","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50micrograms/dose Easi-Breathe inhaler (DE Pharmaceuticals)"
"35909311000001101","27991211000001105","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","Beclometasone","Qvar 50micrograms/dose Easi-Breathe inhaler (Waymade Healthcare Plc)"
"35909411000001108","3111911000001108","Beclometasone 50micrograms/dose dry powder inhaler","Beclometasone","Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd)"
"35909511000001107","3175211000001109","Beclometasone 50micrograms/dose inhaler","Beclometasone","Filair 50 inhaler (Meda Pharmaceuticals Ltd)"
"35909511000001107","3175711000001102","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd)"
"35909511000001107","3175911000001100","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"35909511000001107","3176211000001103","Beclometasone 50micrograms/dose inhaler","Beclometasone","Becotide 50 inhaler (GlaxoSmithKline UK Ltd)"
"35909511000001107","3176411000001104","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclazone 50 inhaler (Teva UK Ltd)"
"35909511000001107","3176711000001105","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Kent Pharma (UK) Ltd)"
"35909511000001107","3177111000001107","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)"
"35909511000001107","4773611000001100","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Teva UK Ltd)"
"35909511000001107","5256811000001107","Beclometasone 50micrograms/dose inhaler","Beclometasone","Becotide 50 inhaler (Waymade Healthcare Plc)"
"35909511000001107","5284711000001101","Beclometasone 50micrograms/dose inhaler","Beclometasone","Becotide 50 inhaler (Dowelhurst Ltd)"
"35909511000001107","11400011000001108","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd)"
"35909511000001107","17793411000001101","Beclometasone 50micrograms/dose inhaler","Beclometasone","Beclometasone 50micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)"
"35909611000001106","3176811000001102","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Qvar 50 inhaler (Teva UK Ltd)"
"35909611000001106","10617711000001103","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd)"
"35909611000001106","17426811000001108","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Qvar 50 inhaler (Mawdsley-Brooks & Company Ltd)"
"35909611000001106","18608911000001101","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Qvar 50 inhaler (DE Pharmaceuticals)"
"35909611000001106","19737111000001101","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Clenil Modulite 50micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd)"
"35909611000001106","35430111000001100","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Kelhale 50micrograms/dose inhaler (Cipla EU Ltd)"
"35909611000001106","36603211000001106","Beclometasone 50micrograms/dose inhaler CFC free","Beclometasone","Soprobec 50micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"35912111000001105","3113111000001106","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)"
"35912111000001105","5273211000001102","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Waymade Healthcare Plc)"
"35912111000001105","5311011000001106","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Dowelhurst Ltd)"
"35912111000001105","5350011000001105","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Budesonide 100micrograms/dose Turbohaler (Dowelhurst Ltd)"
"35912111000001105","10073911000001106","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"35912111000001105","13952811000001102","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (DE Pharmaceuticals)"
"35912111000001105","14390211000001104","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Sigma Pharmaceuticals Plc)"
"35912111000001105","16230011000001102","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Lexon (UK) Ltd)"
"35912111000001105","17425611000001104","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Mawdsley-Brooks & Company Ltd)"
"35912111000001105","18174911000001102","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Pulmicort 100 Turbohaler (Necessity Supplies Ltd)"
"35912111000001105","38130611000001101","Budesonide 100micrograms/dose dry powder inhaler","Budesonide","Easyhaler Budesonide 100micrograms/dose dry powder inhaler (DE Pharmaceuticals)"
"14959511000001107","14951111000001102","Budesonide 100micrograms/dose inhaler CFC free","Budesonide","Pulmicort 100micrograms/dose inhaler CFC free (AstraZeneca UK Ltd)"
"3654611000001109","3636511000001103","Budesonide 1mg/2ml nebuliser liquid unit dose vials","Budesonide","Pulmicort 1mg Respules (AstraZeneca UK Ltd)"
"3654611000001109","5312311000001100","Budesonide 1mg/2ml nebuliser liquid unit dose vials","Budesonide","Pulmicort 1mg Respules (Dowelhurst Ltd)"
"3654611000001109","10273211000001108","Budesonide 1mg/2ml nebuliser liquid unit dose vials","Budesonide","Budesonide 1mg/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)"
"3654611000001109","10274211000001106","Budesonide 1mg/2ml nebuliser liquid unit dose vials","Budesonide","Budesonide 1mg/2ml nebuliser liquid unit dose vials (Teva UK Ltd)"
"3654611000001109","10326711000001104","Budesonide 1mg/2ml nebuliser liquid unit dose vials","Budesonide","Budesonide 1mg/2ml nebuliser liquid unit dose vials (Kent Pharma (UK) Ltd)"
