"VPID","GENERIC_NAME","CHEMICAL_NAME"
"26148711000001101","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol"
"12911011000001100","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol"
"31087511000001105","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol"
"31087411000001106","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol"
"39133611000001108","Budesonide 100micrograms/dose / Formoterol 3micrograms/dose inhaler CFC free","Budesonide + Formoterol"
"35912011000001109","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol"
"38896811000001103","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol"
"32960711000001105","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Budesonide + Formoterol"
"4378111000001103","Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler","Budesonide + Formoterol"
"35647511000001107","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Fluticasone + Formoterol"
"21113711000001102","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free","Fluticasone + Formoterol"
"39111111000001109","Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","Fluticasone + Salmeterol"
"21113811000001105","Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free","Fluticasone + Formoterol"
"39111311000001106","Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","Fluticasone + Salmeterol"
"35647611000001106","Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free","Fluticasone + Formoterol"
"21113911000001100","Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free","Fluticasone + Formoterol"
"39111011000001108","Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","Fluticasone + Salmeterol"
"23661311000001105","Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Fluticasone + Vilanterol"
"23661411000001103","Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Fluticasone + Vilanterol"
"40455711000001101","Fluticasone propionate 100micrograms/dose / Salmeterol 12.75micrograms/dose dry powder inhaler","Fluticasone + Salmeterol"
"38897611000001100","Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","Fluticasone + Salmeterol"
"40455811000001109","Fluticasone propionate 202micrograms/dose / Salmeterol 12.75micrograms/dose dry powder inhaler","Fluticasone + Salmeterol"
"38897511000001104","Fluticasone propionate 250micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","Fluticasone + Salmeterol"
"38897411000001103","Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","Fluticasone + Salmeterol"
"39116311000001103","Indacaterol 125micrograms/dose / Mometasone 127.5micrograms/dose inhalation powder capsules with device","Indacaterol + Mometasone"
"39116411000001105","Indacaterol 125micrograms/dose / Mometasone 260micrograms/dose inhalation powder capsules with device","Indacaterol + Mometasone"
"39116511000001109","Indacaterol 125micrograms/dose / Mometasone 62.5micrograms/dose inhalation powder capsules with device","Indacaterol + Mometasone"
