"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"26148711000001101","26112111000001106","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol","Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)"
"26148711000001101","38136011000001106","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol","Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (DE Pharmaceuticals)"
"26148711000001101","39360211000001103","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol","Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Pilsco Ltd)"
"26148711000001101","40220911000001108","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol","Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (CST Pharma Ltd)"
"12911011000001100","12906411000001100","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)"
"12911011000001100","39817511000001103","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Luforbec 100micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd)"
"12911011000001100","39939611000001107","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Fostair 100micrograms/dose / 6micrograms/dose inhaler (CST Pharma Ltd)"
"12911011000001100","41963811000001107","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Bibecfo 100micrograms/dose / 6micrograms/dose inhaler (Cipla EU Ltd)"
"31087511000001105","31063111000001106","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone + Formoterol","Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)"
"31087411000001106","31063411000001101","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)"
"31087411000001106","40852311000001103","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Luforbec 200micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd)"
"31087411000001106","41966111000001105","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone + Formoterol","Bibecfo 200micrograms/dose / 6micrograms/dose inhaler (Cipla EU Ltd)"
"39133611000001108","39105811000001102","Budesonide 100micrograms/dose / Formoterol 3micrograms/dose inhaler CFC free","Budesonide + Formoterol","Symbicort 100micrograms/dose / 3micrograms/dose pressurised inhaler (AstraZeneca UK Ltd)"
"35912011000001109","3294211000001101","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)"
"35912011000001109","10983311000001107","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Waymade Healthcare Plc)"
"35912011000001109","13206411000001106","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Dowelhurst Ltd)"
"35912011000001109","13958011000001106","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (DE Pharmaceuticals)"
"35912011000001109","14620511000001104","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Sigma Pharmaceuticals Plc)"
"35912011000001109","17457311000001102","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Mawdsley-Brooks & Company Ltd)"
"35912011000001109","18195111000001106","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Necessity Supplies Ltd)"
"35912011000001109","34950611000001103","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"35912011000001109","37997311000001107","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 100/6 Turbohaler (Pharmaram Ltd)"
"38896811000001103","3294611000001104","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)"
"38896811000001103","5277211000001106","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (Waymade Healthcare Plc)"
"38896811000001103","5321011000001102","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (Dowelhurst Ltd)"
"38896811000001103","13958611000001104","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (DE Pharmaceuticals)"
"38896811000001103","14620711000001109","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc)"
"38896811000001103","17457611000001107","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (Mawdsley-Brooks & Company Ltd)"
"38896811000001103","18195311000001108","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (Necessity Supplies Ltd)"
"38896811000001103","25254111000001105","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd)"
"38896811000001103","34950311000001108","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"38896811000001103","36889311000001107","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Pharmaram Ltd)"
"38896811000001103","37397411000001107","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Mawdsley-Brooks & Company Ltd)"
"38896811000001103","37434411000001103","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (CST Pharma Ltd)"
"38896811000001103","37631511000001104","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Ethigen Ltd)"
"38896811000001103","37739011000001101","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Budesonide + Formoterol","Symbicort 200/6 Turbohaler (CST Pharma Ltd)"
