"VPID","GENERIC_NAME","CHEMICAL_NAME"
"28365011000001100","Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler","Aclidinium bromide + Formoterol"
"39711511000001107","Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials","Fenoterol + Ipratropium"
"36066611000001106","Fenoterol 100micrograms/dose / Ipratropium 40micrograms/dose inhaler","Fenoterol + Ipratropium"
"36066711000001102","Fenoterol 100micrograms/dose / Ipratropium bromide 40micrograms/dose breath actuated inhaler","Fenoterol + Ipratropium"
"28422511000001101","Fenoterol 50micrograms/dose / Ipratropium bromide 20micrograms/dose inhaler CFC free","Fenoterol + Ipratropium"
"39343611000001104","Glycopyrronium 7.2micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free","Glycopyrronium bromide + Formoterol"
"28049611000001104","Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device","Indacaterol + Glycopyrronium bromide"
"37692511000001100","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Tiotropium + Olodaterol"
"29987211000001108","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Tiotropium + Olodaterol"
"24645511000001105","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Umeclidinium bromide + Vilanterol"
