"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"28365011000001100","28357211000001106","Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler","Aclidinium bromide + Formoterol","Duaklir 340micrograms/dose / 12micrograms/dose Genuair (Zentiva Pharma UK Ltd)"
"39711511000001107","4192411000001109","Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials","Fenoterol + Ipratropium","Duovent UDVs nebuliser liquid 4ml (Boehringer Ingelheim Ltd)"
"39711511000001107","14214011000001107","Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials","Fenoterol + Ipratropium","Duovent UDVs nebuliser liquid 4ml (Sigma Pharmaceuticals Plc)"
"36066611000001106","2923111000001107","Fenoterol 100micrograms/dose / Ipratropium 40micrograms/dose inhaler","Fenoterol + Ipratropium","Duovent inhaler (Boehringer Ingelheim Ltd)"
"36066711000001102","2964011000001104","Fenoterol 100micrograms/dose / Ipratropium bromide 40micrograms/dose breath actuated inhaler","Fenoterol + Ipratropium","Duovent Autohaler (Boehringer Ingelheim Ltd)"
"28422511000001101","28410811000001107","Fenoterol 50micrograms/dose / Ipratropium bromide 20micrograms/dose inhaler CFC free","Fenoterol + Ipratropium","Berodual N inhaler (Imported (Germany))"
"39343611000001104","39329111000001107","Glycopyrronium 7.2micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free","Glycopyrronium bromide + Formoterol","Bevespi Aerosphere 7.2micrograms/dose / 5micrograms/dose pressurised inhaler (AstraZeneca UK Ltd)"
"28049611000001104","28007211000001102","Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device","Indacaterol + Glycopyrronium bromide","Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"37692511000001100","37678011000001103","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Tiotropium + Olodaterol","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"29987211000001108","29971311000001100","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Tiotropium + Olodaterol","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"29987211000001108","37540311000001105","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Tiotropium + Olodaterol","Yanimo Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"24645511000001105","24644611000001108","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Umeclidinium bromide + Vilanterol","Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"24645511000001105","32364511000001104","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Umeclidinium bromide + Vilanterol","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (Ennogen Healthcare Ltd)"
"24645511000001105","32629811000001101","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Umeclidinium bromide + Vilanterol","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (J M McGill Ltd)"
"24645511000001105","37979411000001103","Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler","Umeclidinium bromide + Vilanterol","Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (Pharmaram Ltd)"
