"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"12626211000001108","3206811000001109","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"12626211000001108","14239811000001105","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Sigma Pharmaceuticals Plc)"
"12626211000001108","16545911000001103","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Stephar (U.K.) Ltd)"
"12626211000001108","16581611000001101","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Mawdsley-Brooks & Company Ltd)"
"12626211000001108","18058411000001109","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Lexon (UK) Ltd)"
"12626211000001108","21866011000001104","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (Waymade Healthcare Plc)"
"12626211000001108","37574711000001102","Formoterol 12microgram inhalation powder capsules with device","Formoterol","Foradil 12microgram inhalation powder capsules with device (CST Pharma Ltd)"
"39113011000001109","3245011000001103","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (AstraZeneca UK Ltd)"
"39113011000001109","5271811000001100","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Waymade Healthcare Plc)"
"39113011000001109","5307111000001103","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Dowelhurst Ltd)"
"39113011000001109","11176411000001106","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"39113011000001109","13944011000001100","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (DE Pharmaceuticals)"
"39113011000001109","14705611000001109","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Sigma Pharmaceuticals Plc)"
"39113011000001109","16219411000001105","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Lexon (UK) Ltd)"
"39113011000001109","16585911000001109","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Stephar (U.K.) Ltd)"
"39113011000001109","17344611000001106","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Mawdsley-Brooks & Company Ltd)"
"39113011000001109","17616911000001109","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (Necessity Supplies Ltd)"
"39113011000001109","37575111000001104","Formoterol 12micrograms/dose dry powder inhaler","Formoterol","Oxis 12 Turbohaler (CST Pharma Ltd)"
"9652711000001107","9628711000001106","Formoterol 12micrograms/dose inhaler CFC free","Formoterol","Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)"
"9652711000001107","30041511000001100","Formoterol 12micrograms/dose inhaler CFC free","Formoterol","Atimos Modulite 12micrograms/dose inhaler (Waymade Healthcare Plc)"
"9652711000001107","37715611000001101","Formoterol 12micrograms/dose inhaler CFC free","Formoterol","Atimos Modulite 12micrograms/dose inhaler (Pilsco Ltd)"
"39112911000001101","3243511000001107","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (AstraZeneca UK Ltd)"
"39112911000001101","5272211000001108","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Waymade Healthcare Plc)"
"39112911000001101","5307711000001102","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Dowelhurst Ltd)"
"39112911000001101","13943811000001108","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (DE Pharmaceuticals)"
"39112911000001101","14706311000001109","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Sigma Pharmaceuticals Plc)"
"39112911000001101","16219211000001106","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Lexon (UK) Ltd)"
"39112911000001101","17344411000001108","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Mawdsley-Brooks & Company Ltd)"
"39112911000001101","17616311000001108","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (Necessity Supplies Ltd)"
"39112911000001101","37443811000001100","Formoterol 6micrograms/dose dry powder inhaler","Formoterol","Oxis 6 Turbohaler (CST Pharma Ltd)"
"17313711000001107","17300811000001109","Indacaterol 150microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 150microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"17313711000001107","18488911000001103","Indacaterol 150microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 150microgram inhalation powder capsules with device (Waymade Healthcare Plc)"
"17313711000001107","37526111000001109","Indacaterol 150microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 150microgram inhalation powder capsules with device (CST Pharma Ltd)"
"17313711000001107","37549211000001109","Indacaterol 150microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 150microgram inhalation powder capsules with device (Mawdsley-Brooks & Company Ltd)"
"17313711000001107","38157111000001106","Indacaterol 150microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 150microgram inhalation powder capsules with device (DE Pharmaceuticals)"
"17313811000001104","17299911000001102","Indacaterol 300microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"17313811000001104","18489111000001108","Indacaterol 300microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 300microgram inhalation powder capsules with device (Waymade Healthcare Plc)"
"17313811000001104","37526611000001101","Indacaterol 300microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 300microgram inhalation powder capsules with device (CST Pharma Ltd)"
"17313811000001104","38157311000001108","Indacaterol 300microgram inhalation powder capsules with device","Indacaterol","Onbrez Breezhaler 300microgram inhalation powder capsules with device (DE Pharmaceuticals)"
"37692311000001106","37678311000001100","Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free","Olodaterol","Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"24670111000001108","24608011000001103","Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Olodaterol","Striverdi Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"39110811000001105","408911000001105","Salmeterol 25micrograms/dose inhaler","Salmeterol","Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"39110811000001105","5275011000001108","Salmeterol 25micrograms/dose inhaler","Salmeterol","Salmeterol 25micrograms/dose inhaler (Waymade Healthcare Plc)"
"39110811000001105","5275311000001106","Salmeterol 25micrograms/dose inhaler","Salmeterol","Serevent 25micrograms/dose inhaler (Waymade Healthcare Plc)"
"39110811000001105","5315611000001101","Salmeterol 25micrograms/dose inhaler","Salmeterol","Salmeterol 25micrograms/dose inhaler (Dowelhurst Ltd)"
"39110811000001105","5320411000001102","Salmeterol 25micrograms/dose inhaler","Salmeterol","Serevent 25micrograms/dose inhaler (Dowelhurst Ltd)"
