"VPID","GENERIC_NAME","CHEMICAL_NAME"
"38893611000001108","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide"
"21496211000001102","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide"
"36022811000001100","Oxitropium bromide 100micrograms/dose breath actuated inhaler","Oxitropium"
"36022911000001105","Oxitropium bromide 100micrograms/dose inhaler","Oxitropium"
"33596311000001107","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium"
"9478911000001107","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium"
"9479011000001103","Tiotropium bromide 18microgram inhalation powder capsules with device","Tiotropium"
"37692711000001105","Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free","Tiotropium"
"12197411000001102","Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Tiotropium"
"27890611000001109","Umeclidinium bromide 65micrograms/dose dry powder inhaler","Umeclidinium bromide"
