"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"38893611000001108","20985511000001101","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide","Eklira 322micrograms/dose Genuair (Zentiva Pharma UK Ltd)"
"38893611000001108","28424911000001104","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide","Eklira 322micrograms/dose Genuair (Waymade Healthcare Plc)"
"38893611000001108","37399011000001107","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide","Eklira 322micrograms/dose Genuair (Mawdsley-Brooks & Company Ltd)"
"38893611000001108","37633411000001104","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide","Eklira 322micrograms/dose Genuair (Pilsco Ltd)"
"38893611000001108","38131811000001105","Aclidinium bromide 375micrograms/dose dry powder inhaler","Aclidinium bromide","Eklira 322micrograms/dose Genuair (DE Pharmaceuticals)"
"21496211000001102","21495411000001107","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"21496211000001102","30273611000001108","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (Waymade Healthcare Plc)"
"21496211000001102","37593111000001108","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (CST Pharma Ltd)"
"21496211000001102","37728211000001103","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (Pilsco Ltd)"
"21496211000001102","37996311000001109","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (Pharmaram Ltd)"
"21496211000001102","40478511000001100","Glycopyrronium bromide 55microgram inhalation powder capsules with device","Glycopyrronium bromide","Seebri Breezhaler 44microgram inhalation powder capsules with device (DE Pharmaceuticals)"
"36022811000001100","2947411000001107","Oxitropium bromide 100micrograms/dose breath actuated inhaler","Oxitropium","Oxivent 100micrograms/dose Autohaler (Boehringer Ingelheim Ltd)"
"36022911000001105","2944211000001101","Oxitropium bromide 100micrograms/dose inhaler","Oxitropium","Oxivent 100micrograms/dose inhaler (Boehringer Ingelheim Ltd)"
"36022911000001105","5272411000001107","Oxitropium bromide 100micrograms/dose inhaler","Oxitropium","Oxivent 100micrograms/dose inhaler (Waymade Healthcare Plc)"
"33596311000001107","33594911000001100","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium","Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)"
"33596311000001107","37716011000001104","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium","Braltus 10microgram inhalation powder capsules with Zonda inhaler (Pilsco Ltd)"
"33596311000001107","37743711000001101","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium","Braltus 10microgram inhalation powder capsules with Zonda inhaler (CST Pharma Ltd)"
"33596311000001107","38120811000001104","Tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium","Braltus 10microgram inhalation powder capsules with Zonda inhaler (DE Pharmaceuticals)"
"9478911000001107","3380011000001106","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium","Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)"
"9478911000001107","10469711000001108","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium","Spiriva 18microgram inhalation powder capsules (Dowelhurst Ltd)"
"9478911000001107","10785611000001108","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium","Spiriva 18microgram inhalation powder capsules (Waymade Healthcare Plc)"
"9478911000001107","13953011000001104","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium","Spiriva 18microgram inhalation powder capsules (DE Pharmaceuticals)"
"9478911000001107","14382411000001103","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium","Spiriva 18microgram inhalation powder capsules (Sigma Pharmaceuticals Plc)"
