"VPID","GENERIC_NAME","CHEMICAL_NAME"
"35368511000001109","Amoxicillin 125mg/1.25ml oral suspension paediatric","Amoxicillin"
"41940811000001105","Amoxicillin 125mg/5ml oral suspension","Amoxicillin"
"35901911000001104","Amoxicillin 125mg/5ml oral suspension sugar free","Amoxicillin"
"38726811000001109","Amoxicillin 1g dispersible tablets sugar free","Amoxicillin"
"39732311000001104","Amoxicillin 250mg capsules","Amoxicillin"
"41941111000001109","Amoxicillin 250mg/5ml oral suspension","Amoxicillin"
"39021911000001105","Amoxicillin 250mg/5ml oral suspension sugar free","Amoxicillin"
"35902111000001107","Amoxicillin 3g oral powder sachets sugar free","Amoxicillin"
"39732411000001106","Amoxicillin 500mg capsules","Amoxicillin"
"41941311000001106","Amoxicillin 500mg/5ml oral suspension sugar free","Amoxicillin"
"41941911000001107","Azithromycin 200mg/5ml oral suspension","Azithromycin"
"29668711000001101","Azithromycin 200mg/5ml oral suspension sugar free","Azithromycin"
"41942011000001100","Azithromycin 250mg capsules","Azithromycin"
"11034311000001100","Azithromycin 250mg tablets","Azithromycin"
"39733511000001103","Azithromycin 500mg tablets","Azithromycin"
"41942511000001108","Cefaclor 125mg/5ml oral suspension","Cefaclor"
"36134011000001105","Cefaclor 125mg/5ml oral suspension sugar free","Cefaclor"
"39735011000001107","Cefaclor 250mg capsules","Cefaclor"
"41942611000001107","Cefaclor 250mg/5ml oral suspension","Cefaclor"
"36134111000001106","Cefaclor 250mg/5ml oral suspension sugar free","Cefaclor"
"36134211000001100","Cefaclor 375mg modified-release tablets","Cefaclor"
"39735111000001108","Cefaclor 500mg capsules","Cefaclor"
"41943011000001109","Cefalexin 125mg/5ml oral suspension","Cefalexin"
"4865011000001104","Cefalexin 125mg/5ml oral suspension sugar free","Cefalexin"
"39735311000001105","Cefalexin 250mg capsules","Cefalexin"
"39684111000001105","Cefalexin 250mg tablets","Cefalexin"
"41943111000001105","Cefalexin 250mg/5ml oral suspension","Cefalexin"
"4515811000001108","Cefalexin 250mg/5ml oral suspension sugar free","Cefalexin"
"39694811000001102","Cefalexin 500mg capsules","Cefalexin"
"39735911000001106","Cefalexin 500mg tablets","Cefalexin"
"36134311000001108","Cefalexin 500mg/5ml oral suspension","Cefalexin"
"36134411000001101","Cefixime 100mg/5ml oral suspension","Cefixime"
"41943211000001104","Cefixime 200mg tablets","Cefixime"
"41943311000001107","Cefixime 400mg tablets","Cefixime"
"41944511000001103","Cefradine 250mg capsules","Cefradine"
"36134511000001102","Cefradine 250mg/5ml oral solution","Cefradine"
"41944611000001104","Cefradine 500mg capsules","Cefradine"
"41945711000001107","Cefuroxime 125mg granules sachets","Cefuroxime"
"39684511000001101","Cefuroxime 125mg tablets","Cefuroxime"
"41945811000001104","Cefuroxime 125mg/5ml oral suspension","Cefuroxime"
"39694611000001101","Cefuroxime 250mg tablets","Cefuroxime"
"39686211000001109","Ciprofloxacin 100mg tablets","Ciprofloxacin"
"12019511000001104","Ciprofloxacin 100mg/5ml oral suspension","Ciprofloxacin"
"12019611000001100","Ciprofloxacin 125mg/5ml oral suspension","Ciprofloxacin"
"12019711000001109","Ciprofloxacin 150mg/5ml oral suspension","Ciprofloxacin"
"12019811000001101","Ciprofloxacin 165mg/5ml oral suspension","Ciprofloxacin"
"12019911000001106","Ciprofloxacin 170mg/5ml oral suspension","Ciprofloxacin"
"12020011000001108","Ciprofloxacin 175mg/5ml oral suspension","Ciprofloxacin"
"12020111000001109","Ciprofloxacin 20mg/5ml oral suspension","Ciprofloxacin"
"39687511000001109","Ciprofloxacin 250mg tablets","Ciprofloxacin"
"41760211000001107","Ciprofloxacin 250mg/5ml oral suspension","Ciprofloxacin"
"12020211000001103","Ciprofloxacin 375mg/5ml oral suspension","Ciprofloxacin"
"12020311000001106","Ciprofloxacin 40mg/5ml oral suspension","Ciprofloxacin"
"12020411000001104","Ciprofloxacin 45mg/5ml oral suspension","Ciprofloxacin"
"39687811000001107","Ciprofloxacin 500mg tablets","Ciprofloxacin"
"12020511000001100","Ciprofloxacin 500mg/5ml oral suspension","Ciprofloxacin"
"12020611000001101","Ciprofloxacin 50mg/5ml oral suspension","Ciprofloxacin"
"12020711000001105","Ciprofloxacin 60mg/5ml oral suspension","Ciprofloxacin"
"39687011000001101","Ciprofloxacin 750mg tablets","Ciprofloxacin"
"12020811000001102","Ciprofloxacin 75mg/5ml oral suspension","Ciprofloxacin"
"12020911000001107","Ciprofloxacin 80mg/5ml oral suspension","Ciprofloxacin"
"4977911000001105","Clarithromycin 125mg granules sachets","Clarithromycin"
"9742311000001103","Clarithromycin 125mg granules straws","Clarithromycin"
"35368711000001104","Clarithromycin 125mg/5ml oral suspension","Clarithromycin"
"9742411000001105","Clarithromycin 187.5mg granules straws","Clarithromycin"
"41946211000001106","Clarithromycin 250mg granules sachets","Clarithromycin"
"9742511000001109","Clarithromycin 250mg granules straws","Clarithromycin"
"41946311000001103","Clarithromycin 250mg tablets","Clarithromycin"
"37083211000001101","Clarithromycin 250mg/5ml oral suspension","Clarithromycin"
"36142611000001107","Clarithromycin 500mg modified-release tablets","Clarithromycin"
"41946511000001109","Clarithromycin 500mg tablets","Clarithromycin"
"7322211000001104","Co-amoxiclav 125mg/31mg/5ml oral suspension","Co-amoxiclav"
"36565811000001104","Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free","Co-amoxiclav"
"39021311000001109","Co-amoxiclav 250mg/125mg dispersible tablets sugar free","Co-amoxiclav"
"39732111000001101","Co-amoxiclav 250mg/125mg tablets","Co-amoxiclav"
"7322311000001107","Co-amoxiclav 250mg/62mg/5ml oral suspension","Co-amoxiclav"
"37083611000001104","Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free","Co-amoxiclav"
"37083711000001108","Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free","Co-amoxiclav"
"39732211000001107","Co-amoxiclav 500mg/125mg tablets","Co-amoxiclav"
"39732511000001105","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav"
"41948311000001104","Doxycycline 100mg capsules","Doxycycline"
"39710311000001106","Doxycycline 100mg dispersible tablets sugar free","Doxycycline"
"41948411000001106","Doxycycline 100mg tablets","Doxycycline"
"32876211000001101","Doxycycline 100mg/5ml oral suspension","Doxycycline"
"41948511000001105","Doxycycline 20mg tablets","Doxycycline"
"36564611000001104","Doxycycline 40mg modified-release capsules","Doxycycline"
"41948611000001109","Doxycycline 50mg capsules","Doxycycline"
"8485211000001101","Doxycycline 50mg/5ml oral solution","Doxycycline"
"8485311000001109","Doxycycline 50mg/5ml oral suspension","Doxycycline"
"36064711000001106","Erythromycin 250mg gastro-resistant capsules","Erythromycin"
"41948811000001108","Erythromycin 250mg gastro-resistant tablets","Erythromycin"
"41948911000001103","Erythromycin ethyl succinate 125mg/5ml oral suspension","Erythromycin ethyl succinate"
"36564711000001108","Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free","Erythromycin ethyl succinate"
"41949011000001107","Erythromycin ethyl succinate 250mg/5ml oral suspension","Erythromycin ethyl succinate"
"39107311000001103","Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free","Erythromycin ethyl succinate"
"41949111000001108","Erythromycin ethyl succinate 500mg tablets","Erythromycin ethyl succinate"
"41949211000001102","Erythromycin ethyl succinate 500mg/5ml oral suspension","Erythromycin ethyl succinate"
"39107211000001106","Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free","Erythromycin ethyl succinate"
"41949311000001105","Erythromycin stearate 250mg tablets","Erythromycin stearate"
"41949411000001103","Erythromycin stearate 500mg tablets","Erythromycin stearate"
"39697411000001109","Levofloxacin 250mg tablets","Levofloxacin"
"41951211000001101","Levofloxacin 500mg tablets","Levofloxacin"
"41952411000001107","Moxifloxacin 400mg tablets","Moxifloxacin"
"36003311000001109","Moxifloxacin 400mg/5ml oral solution","Moxifloxacin"
