"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"41941311000001106","39339111000001109","Amoxicillin 500mg/5ml oral suspension sugar free","Amoxicillin","Amoxicillin 500mg/5ml oral suspension sugar free (Brown & Burk UK Ltd)"
"41941311000001106","39879711000001105","Amoxicillin 500mg/5ml oral suspension sugar free","Amoxicillin","Amoxicillin 500mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"
"41941311000001106","40346311000001103","Amoxicillin 500mg/5ml oral suspension sugar free","Amoxicillin","Amoxicillin 500mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"
"38726811000001109","38719511000001105","Amoxicillin 1g dispersible tablets sugar free","Amoxicillin","Amoxicillin 1g dispersible tablets sugar free (RX Farma)"
"38726811000001109","38953811000001107","Amoxicillin 1g dispersible tablets sugar free","Amoxicillin","Amoxicillin 1g dispersible tablets sugar free (Almus Pharmaceuticals Ltd)"
"38726811000001109","38987311000001101","Amoxicillin 1g dispersible tablets sugar free","Amoxicillin","Amoxicillin 1g dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"
"41948411000001106","38250911000001106","Doxycycline 100mg tablets","Doxycycline","Doxycycline 100mg tablets (Ennogen Pharma Ltd)"
"36003311000001109","35992311000001106","Moxifloxacin 400mg/5ml oral solution","Moxifloxacin","Moxifloxacin 400mg/5ml oral solution (Special Order)"
"41943311000001107","34762811000001103","Cefixime 400mg tablets","Cefixime","Cefixime 400mg tablets (Rivopharm (UK) Ltd)"
"32876211000001101","32874411000001105","Doxycycline 100mg/5ml oral suspension","Doxycycline","Doxycycline 100mg/5ml oral suspension (Special Order)"
"29668711000001101","29516411000001104","Azithromycin 200mg/5ml oral suspension sugar free","Azithromycin","Azithromycin 200mg/5ml oral suspension sugar free (Special Order)"
"39732511000001105","27959911000001109","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (Creo Pharma Ltd)"
"39732511000001105","28039411000001101","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (Alliance Healthcare (Distribution) Ltd)"
"39732511000001105","28873411000001104","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (A A H Pharmaceuticals Ltd)"
"39732511000001105","29795311000001104","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (Sigma Pharmaceuticals Plc)"
"39732511000001105","30016511000001100","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (Mawdsley-Brooks & Company Ltd)"
"39732511000001105","32400011000001107","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav","Co-amoxiclav 875mg/125mg tablets (Brown & Burk UK Ltd)"
"36564611000001104","15656211000001107","Doxycycline 40mg modified-release capsules","Doxycycline","Efracea 40mg modified-release capsules (Galderma (UK) Ltd)"
