"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","FORM_DESC","DESC"
"38973511000001106","38973211000001108","Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"38973511000001106","40085311000001103","Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"37531311000001101","37514711000001105","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"37531311000001101","37547211000001103","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"15651211000001104","15651011000001109","Influenza H1N1 vaccine (split virion, inactivated, adjuvanted) emulsion and suspension for emulsion for injection","Influenza H1N1 vaccine","Emulsion and suspension for emulsion for injection","Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd)"
"15651311000001107","15650611000001107","Influenza H1N1 vaccine (whole virion, Vero cell derived, inactivated) suspension for injection","Influenza H1N1 vaccine","Suspension for injection","Celvapan (H1N1) vaccine (whole virion, Vero cell derived, inactivated) suspension for injection (Baxter Healthcare Ltd)"
"19821411000001103","19820511000001106","Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose","Influenza vaccine","Spray","Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"
"19821411000001103","27114211000001105","Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose","Influenza vaccine","Spray","Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"
"19821411000001103","30935711000001104","Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose","Influenza vaccine","Spray","FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"
"15507511000001109","15506511000001107","Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes","Influenza vaccine","Suspension for injection","Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)"
"15474011000001107","15454511000001101","Influenza vaccine (split virion, inactivated) 9microgram strain suspension for injection 0.1ml pre-filled syringes","Influenza vaccine","Suspension for injection","Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)"
"36755311000001100","36754111000001101","Influenza vaccine (split virion, inactivated) High Dose suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Trivalent influenza vaccine (split virion, inactivated) High Dose suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)"
"9519711000001102","9509211000001106","Influenza vaccine (split virion, inactivated) suspension for injection 0.25ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza vaccine (split virion, inactivated) suspension for injection 0.25ml pre-filled syringes (sanofi pasteur MSD Ltd)"
"39716811000001100","3244411000001106","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)"
"39716811000001100","3245911000001104","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)"
"39716811000001100","3247011000001105","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)"
"39716811000001100","9511411000001107","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)"
"39716811000001100","10133911000001103","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (A A H Pharmaceuticals Ltd)"
"39716811000001100","11278411000001109","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)"
"39716811000001100","20292211000001109","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Preflucel vaccine suspension for injection 0.5ml pre-filled syringes (Baxter Healthcare Ltd)"
"39716811000001100","22704311000001109","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)"
"39716811000001100","34680411000001107","Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Quadrivalent influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi)"
"39716611000001104","3249511000001109","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)"
"39716611000001104","3252611000001103","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)"
"39716611000001104","3255011000001100","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"
"39716611000001104","3255311000001102","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"39716611000001104","4365711000001104","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd)"
"39716611000001104","10859911000001105","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"
"39716611000001104","15382311000001101","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"
"39716611000001104","22628411000001107","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)"
"39716611000001104","35726811000001104","Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes","Influenza vaccine","Suspension for injection","Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"
