"VPID","GENERIC_NAME","CHEMICAL_NAME"
"11714511000001100","Dexamethasone 1.25mg/5ml oral solution","Dexamethasone"
"11714611000001101","Dexamethasone 1.25mg/5ml oral suspension","Dexamethasone"
"11714711000001105","Dexamethasone 1.5mg/5ml oral solution","Dexamethasone"
"11714811000001102","Dexamethasone 1.5mg/5ml oral suspension","Dexamethasone"
"8792611000001104","Dexamethasone 100microgram capsules","Dexamethasone"
"8429311000001101","Dexamethasone 100micrograms/5ml oral solution","Dexamethasone"
"8429211000001109","Dexamethasone 100micrograms/5ml oral suspension","Dexamethasone"
"24580511000001101","Dexamethasone 10mg capsules","Dexamethasone"
"40306711000001107","Dexamethasone 10mg soluble tablets sugar free","Dexamethasone"
"11612111000001109","Dexamethasone 10mg/5ml oral solution","Dexamethasone"
"24350911000001102","Dexamethasone 10mg/5ml oral solution sugar free","Dexamethasone"
"11714911000001107","Dexamethasone 10mg/5ml oral suspension","Dexamethasone"
"11715011000001107","Dexamethasone 14mg/5ml oral solution","Dexamethasone"
"11715111000001108","Dexamethasone 14mg/5ml oral suspension","Dexamethasone"
"11715211000001102","Dexamethasone 16.7mg/5ml oral solution","Dexamethasone"
"11715311000001105","Dexamethasone 16.7mg/5ml oral suspension","Dexamethasone"
"11715411000001103","Dexamethasone 16mg/5ml oral solution","Dexamethasone"
"11715511000001104","Dexamethasone 16mg/5ml oral suspension","Dexamethasone"
"8429111000001103","Dexamethasone 1mg/5ml oral solution","Dexamethasone"
"8429011000001104","Dexamethasone 1mg/5ml oral suspension","Dexamethasone"
"8452111000001106","Dexamethasone 2.5mg/5ml oral solution","Dexamethasone"
"8452211000001100","Dexamethasone 2.5mg/5ml oral suspension","Dexamethasone"
"8428911000001108","Dexamethasone 200micrograms/5ml oral solution","Dexamethasone"
"8428811000001103","Dexamethasone 200micrograms/5ml oral suspension","Dexamethasone"
"40306811000001104","Dexamethasone 20mg soluble tablets sugar free","Dexamethasone"
"11715611000001100","Dexamethasone 20mg/5ml oral solution","Dexamethasone"
"28881311000001104","Dexamethasone 20mg/5ml oral solution sugar free","Dexamethasone"
"11715711000001109","Dexamethasone 20mg/5ml oral suspension","Dexamethasone"
"11715811000001101","Dexamethasone 250micrograms/5ml oral solution","Dexamethasone"
"11715911000001106","Dexamethasone 250micrograms/5ml oral suspension","Dexamethasone"
"32071811000001109","Dexamethasone 2mg soluble tablets sugar free","Dexamethasone"
"42082011000001104","Dexamethasone 2mg tablets","Dexamethasone"
"11716011000001103","Dexamethasone 2mg/5ml oral solution","Dexamethasone"
"37084211000001103","Dexamethasone 2mg/5ml oral solution sugar free","Dexamethasone"
"11716111000001102","Dexamethasone 2mg/5ml oral suspension","Dexamethasone"
"11716211000001108","Dexamethasone 3mg/5ml oral solution","Dexamethasone"
"11716311000001100","Dexamethasone 3mg/5ml oral suspension","Dexamethasone"
"31141511000001103","Dexamethasone 400microgram capsules","Dexamethasone"
"34796811000001100","Dexamethasone 40mg tablets","Dexamethasone"
"32071911000001104","Dexamethasone 4mg soluble tablets sugar free","Dexamethasone"
"42082111000001103","Dexamethasone 4mg tablets","Dexamethasone"
"11716411000001107","Dexamethasone 4mg/5ml oral solution","Dexamethasone"
"11716511000001106","Dexamethasone 4mg/5ml oral suspension","Dexamethasone"
"42082211000001109","Dexamethasone 500microgram tablets","Dexamethasone"
"42082311000001101","Dexamethasone 500micrograms/5ml oral solution","Dexamethasone"
"8452311000001108","Dexamethasone 500micrograms/5ml oral suspension","Dexamethasone"
"8452411000001101","Dexamethasone 5mg/5ml oral solution","Dexamethasone"
"8452511000001102","Dexamethasone 5mg/5ml oral suspension","Dexamethasone"
"11716611000001105","Dexamethasone 6mg/5ml oral solution","Dexamethasone"
"11716711000001101","Dexamethasone 6mg/5ml oral suspension","Dexamethasone"
"32072011000001106","Dexamethasone 8mg soluble tablets sugar free","Dexamethasone"
"35574111000001104","Dexamethasone 8mg tablets","Dexamethasone"
"11716811000001109","Dexamethasone 8mg/5ml oral solution","Dexamethasone"
"11716911000001104","Dexamethasone 8mg/5ml oral suspension","Dexamethasone"
"13078311000001101","Prednisolone 1.5mg/5ml oral solution","Prednisolone"
"13078411000001108","Prednisolone 1.5mg/5ml oral suspension","Prednisolone"
"14204411000001101","Prednisolone 1.67mg/5ml oral solution","Prednisolone"
"14204511000001102","Prednisolone 1.67mg/5ml oral suspension","Prednisolone"
"28808411000001103","Prednisolone 10mg tablets","Prednisolone"
"42086511000001108","Prednisolone 10mg/5ml oral solution","Prednisolone"
"13078611000001106","Prednisolone 10mg/5ml oral suspension","Prednisolone"
"29904211000001102","Prednisolone 10mg/ml oral solution sugar free","Prednisolone"
"42086611000001107","Prednisolone 15mg/5ml oral solution","Prednisolone"
"42086711000001103","Prednisolone 15mg/5ml oral suspension","Prednisolone"
"32611811000001105","Prednisolone 1mg gastro-resistant tablets","Prednisolone"
"42086811000001106","Prednisolone 1mg tablets","Prednisolone"
"13078911000001100","Prednisolone 1mg/5ml oral solution","Prednisolone"
"13079011000001109","Prednisolone 1mg/5ml oral suspension","Prednisolone"
"42086911000001101","Prednisolone 2.5mg gastro-resistant tablets","Prednisolone"
"28808611000001100","Prednisolone 2.5mg tablets","Prednisolone"
"13079111000001105","Prednisolone 2.5mg/5ml oral solution","Prednisolone"
"13079211000001104","Prednisolone 2.5mg/5ml oral suspension","Prednisolone"
"28808711000001109","Prednisolone 20mg tablets","Prednisolone"
"13079311000001107","Prednisolone 20mg/5ml oral solution","Prednisolone"
"13079411000001100","Prednisolone 20mg/5ml oral suspension","Prednisolone"
"42087011000001102","Prednisolone 25mg tablets","Prednisolone"
"13079511000001101","Prednisolone 25mg/5ml oral solution","Prednisolone"
"13079611000001102","Prednisolone 25mg/5ml oral suspension","Prednisolone"
"41968211000001103","Prednisolone 2mg tablets","Prednisolone"
"8672011000001109","Prednisolone 2mg/5ml oral suspension","Prednisolone"
"32781411000001102","Prednisolone 30mg tablets","Prednisolone"
"41968311000001106","Prednisolone 3mg tablets","Prednisolone"
"41968411000001104","Prednisolone 4mg tablets","Prednisolone"
"41968511000001100","Prednisolone 500microgram tablets","Prednisolone"
"42087111000001101","Prednisolone 50mg tablets","Prednisolone"
"42087211000001107","Prednisolone 5mg gastro-resistant tablets","Prednisolone"
"39722711000001103","Prednisolone 5mg soluble tablets","Prednisolone"
"42087311000001104","Prednisolone 5mg tablets","Prednisolone"
"13133111000001100","Prednisolone 5mg/5ml oral solution","Prednisolone"
"29424511000001109","Prednisolone 5mg/5ml oral solution unit dose","Prednisolone"
"42087411000001106","Prednisolone 5mg/5ml oral suspension","Prednisolone"
"17872811000001100","Prednisone 1mg modified-release tablets","Prednisone"
"42087611000001109","Prednisone 1mg tablets","Prednisone"
"17873211000001107","Prednisone 2mg modified-release tablets","Prednisone"
"42087711000001100","Prednisone 50mg tablets","Prednisone"
"17873811000001108","Prednisone 5mg modified-release tablets","Prednisone"
"42087811000001108","Prednisone 5mg tablets","Prednisone"
