"VPID","GENERIC_NAME","CHEMICAL_NAME","FORM_DESC"
"35914111000001102","Bupropion 150mg modified-release tablets","Bupropion","Modified-release tablet"
"13113011000001109","Nicotine 1.5mg lozenges sugar free","Nicotine","Lozenge"
"3501611000001105","Nicotine 10mg inhalation cartridges with device","Nicotine","Inhalation vapour"
"36563611000001102","Nicotine 10mg/16hours transdermal patches","Nicotine","Transdermal patch"
"36565311000001108","Nicotine 14mg/24hours transdermal patches","Nicotine","Transdermal patch"
"19482211000001108","Nicotine 15mg inhalation cartridges with device","Nicotine","Inhalation vapour"
"16549011000001100","Nicotine 15mg/16 hours transdermal patches and Nicotine 2mg medicated chewing gum sugar free","Nicotine","Not applicable"
"36566311000001103","Nicotine 15mg/16hours transdermal patches","Nicotine","Transdermal patch"
"18562311000001106","Nicotine 1mg/dose oromucosal spray sugar free","Nicotine","Spray"
"22787211000001107","Nicotine 2.5mg orodispersible films sugar free","Nicotine","Orodispersible film"
"39022411000001107","Nicotine 21mg/24hours transdermal patches","Nicotine","Transdermal patch"
"14984411000001104","Nicotine 25mg/16hours transdermal patches","Nicotine","Transdermal patch"
"3505611000001108","Nicotine 2mg lozenges sugar free","Nicotine","Lozenge"
"3559511000001102","Nicotine 2mg medicated chewing gum sugar free","Nicotine","Medicated chewing-gum"
"39111611000001101","Nicotine 2mg sublingual tablets sugar free","Nicotine","Sublingual tablet"
"37764511000001100","Nicotine 450micrograms/dose inhaler CFC free","Nicotine","Pressurised inhalation"
"3506011000001105","Nicotine 4mg lozenges sugar free","Nicotine","Lozenge"
"3559611000001103","Nicotine 4mg medicated chewing gum sugar free","Nicotine","Medicated chewing-gum"
"42296911000001106","Nicotine 500micrograms/dose nasal spray","Nicotine","Spray"
"39112811000001106","Nicotine 5mg/16hours transdermal patches","Nicotine","Transdermal patch"
"30781011000001101","Nicotine 6mg medicated chewing gum sugar free","Nicotine","Medicated chewing-gum"
"38897211000001102","Nicotine 7mg/24hours transdermal patches","Nicotine","Transdermal patch"
"3559411000001101","Nicotine bitartrate 1mg lozenges sugar free","Nicotine","Lozenge"
"5623211000001100","Nicotine bitartrate 2mg lozenges sugar free","Nicotine","Lozenge"
"39707011000001106","Varenicline 1mg tablets","Varenicline","Tablet"
"10984311000001109","Varenicline 1mg tablets and Varenicline 500microgram tablets","Varenicline","Not applicable"
"39707111000001107","Varenicline 500microgram tablets","Varenicline","Tablet"
