"VPID","GENERIC_NAME","CHEMICAL_NAME"
"42290811000001103","Aminophylline 100mg tablets","Aminophylline"
"35900411000001103","Aminophylline 225mg modified-release tablets","Aminophylline"
"14608511000001107","Aminophylline hydrate 100mg modified-release tablets","Aminophylline"
"13663211000001104","Aminophylline hydrate 225mg modified-release tablets","Aminophylline"
"14608611000001106","Aminophylline hydrate 350mg modified-release tablets","Aminophylline"
"8725311000001108","Theophylline 10mg/5ml oral solution","Theophylline"
"8725211000001100","Theophylline 10mg/5ml oral suspension","Theophylline"
"16075511000001107","Theophylline 120mg/5ml oral solution","Theophylline"
"16075611000001106","Theophylline 120mg/5ml oral suspension","Theophylline"
"35957711000001104","Theophylline 125mg modified-release capsules","Theophylline"
"42298611000001104","Theophylline 125mg tablets","Theophylline"
"23676311000001105","Theophylline 125mg/5ml oral suspension","Theophylline"
"35917611000001104","Theophylline 175mg modified-release tablets","Theophylline"
"16075711000001102","Theophylline 175mg/5ml oral solution","Theophylline"
"16075811000001105","Theophylline 175mg/5ml oral suspension","Theophylline"
"35917711000001108","Theophylline 200mg modified-release tablets","Theophylline"
"35917911000001105","Theophylline 250mg modified-release capsules","Theophylline"
"35917811000001100","Theophylline 250mg modified-release tablets","Theophylline"
"15227511000001109","Theophylline 250mg/5ml oral solution","Theophylline"
"15227611000001108","Theophylline 250mg/5ml oral suspension","Theophylline"
"35900611000001100","Theophylline 300mg modified-release capsules","Theophylline"
"35918011000001107","Theophylline 300mg modified-release tablets","Theophylline"
"35918111000001108","Theophylline 400mg modified-release tablets","Theophylline"
"24595311000001101","Theophylline 50mg/5ml oral solution","Theophylline"
"35101211000001105","Theophylline 50mg/5ml oral suspension","Theophylline"
"24535311000001108","Theophylline 5mg/5ml oral solution","Theophylline"
"35918211000001102","Theophylline 60mg modified-release capsules","Theophylline"
"42298711000001108","Theophylline 60mg/5ml oral solution","Theophylline"
"14797111000001107","Theophylline 60mg/5ml oral suspension","Theophylline"
"34378911000001102","Theophylline 75mg/5ml oral suspension","Theophylline"
