"VPID","APID","GENERIC_NAME","CHEMICAL_NAME","DESC"
"35101211000001105","35050111000001109","Theophylline 50mg/5ml oral suspension","Theophylline","Theophylline 50mg/5ml oral suspension (Drug Tariff Special Order)"
"34378911000001102","34347611000001108","Theophylline 75mg/5ml oral suspension","Theophylline","Theophylline 75mg/5ml oral suspension (Special Order)"
"35900611000001100","29693211000001102","Theophylline 300mg modified-release capsules","Theophylline","Theo-24 300mg modified-release capsules (Imported (United States))"
"24595311000001101","24588211000001101","Theophylline 50mg/5ml oral solution","Theophylline","Theophylline 50mg/5ml oral solution (Drug Tariff Special Order)"
"24535311000001108","24524711000001106","Theophylline 5mg/5ml oral solution","Theophylline","Theophylline 5mg/5ml oral solution (Special Order)"
"23676311000001105","23671111000001104","Theophylline 125mg/5ml oral suspension","Theophylline","Theophylline 125mg/5ml oral suspension (Special Order)"
"16075511000001107","16043311000001103","Theophylline 120mg/5ml oral solution","Theophylline","Theophylline 120mg/5ml oral solution (Special Order)"
"16075611000001106","16043911000001102","Theophylline 120mg/5ml oral suspension","Theophylline","Theophylline 120mg/5ml oral suspension (Special Order)"
"16075811000001105","16044511000001107","Theophylline 175mg/5ml oral suspension","Theophylline","Theophylline 175mg/5ml oral suspension (Special Order)"
"16075711000001102","16045011000001100","Theophylline 175mg/5ml oral solution","Theophylline","Theophylline 175mg/5ml oral solution (Special Order)"
"15227511000001109","15169611000001109","Theophylline 250mg/5ml oral solution","Theophylline","Theophylline 250mg/5ml oral solution (Special Order)"
"15227611000001108","15169911000001103","Theophylline 250mg/5ml oral suspension","Theophylline","Theophylline 250mg/5ml oral suspension (Special Order)"
"14797111000001107","14790111000001106","Theophylline 60mg/5ml oral suspension","Theophylline","Theophylline 60mg/5ml oral suspension (Special Order)"
"8725311000001108","8709611000001109","Theophylline 10mg/5ml oral solution","Theophylline","Theophylline 10mg/5ml oral solution (Special Order)"
"8725211000001100","8710111000001109","Theophylline 10mg/5ml oral suspension","Theophylline","Theophylline 10mg/5ml oral suspension (Special Order)"
"13663211000001104","3287411000001108","Aminophylline hydrate 225mg modified-release tablets","Aminophylline","Phyllocontin Continus 225mg tablets (Napp Pharmaceuticals Ltd)"
"35900411000001103","3291311000001106","Aminophylline 225mg modified-release tablets","Aminophylline","Amnivent-225 SR tablets (Ashbourne Pharmaceuticals Ltd)"
"35900411000001103","3292211000001105","Aminophylline 225mg modified-release tablets","Aminophylline","Norphyllin SR 225mg tablets (Teva UK Ltd)"
"35900411000001103","10062711000001109","Aminophylline 225mg modified-release tablets","Aminophylline","Aminophylline 225mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"
"35918111000001108","2892211000001108","Theophylline 400mg modified-release tablets","Theophylline","Uniphyllin Continus 400mg tablets (Ennogen Healthcare Ltd)"
"35917611000001104","184211000001107","Theophylline 175mg modified-release tablets","Theophylline","Nuelin SA 175mg tablets (Viatris UK Healthcare Ltd)"
"35917611000001104","37545311000001103","Theophylline 175mg modified-release tablets","Theophylline","Nuelin SA 175mg tablets (Mawdsley-Brooks & Company Ltd)"
"35917811000001100","456911000001102","Theophylline 250mg modified-release tablets","Theophylline","Nuelin SA 250 tablets (Viatris UK Healthcare Ltd)"
"35917811000001100","37545811000001107","Theophylline 250mg modified-release tablets","Theophylline","Nuelin SA 250 tablets (Mawdsley-Brooks & Company Ltd)"
"35918011000001107","727211000001102","Theophylline 300mg modified-release tablets","Theophylline","Theo-Dur 300mg tablets (AstraZeneca UK Ltd)"
"35918011000001107","2891811000001100","Theophylline 300mg modified-release tablets","Theophylline","Uniphyllin Continus 300mg tablets (Ennogen Healthcare Ltd)"
"35917911000001105","543711000001100","Theophylline 250mg modified-release capsules","Theophylline","Slo-Phyllin 250mg capsules (Merck Serono Ltd)"
"35957711000001104","176011000001103","Theophylline 125mg modified-release capsules","Theophylline","Slo-Phyllin 125mg capsules (Merck Serono Ltd)"
"35918211000001102","792111000001103","Theophylline 60mg modified-release capsules","Theophylline","Slo-Phyllin 60mg capsules (Merck Serono Ltd)"
"35917711000001108","296711000001107","Theophylline 200mg modified-release tablets","Theophylline","Theo-Dur 200mg tablets (AstraZeneca UK Ltd)"
"35917711000001108","454311000001109","Theophylline 200mg modified-release tablets","Theophylline","Uniphyllin Continus 200mg tablets (Ennogen Healthcare Ltd)"
"42298611000001104","468311000001108","Theophylline 125mg tablets","Theophylline","Nuelin 125mg tablets (3M Health Care Ltd)"
"42298711000001108","436811000001108","Theophylline 60mg/5ml oral solution","Theophylline","Nuelin 60mg/5ml liquid (3M Health Care Ltd)"
"42298711000001108","14789811000001107","Theophylline 60mg/5ml oral solution","Theophylline","Theophylline 60mg/5ml oral solution (Special Order)"
"42290811000001103","801111000001108","Aminophylline 100mg tablets","Aminophylline","Aminophylline 100mg tablets (A A H Pharmaceuticals Ltd)"
"14608511000001107","515811000001101","Aminophylline hydrate 100mg modified-release tablets","Aminophylline","Phyllocontin Paediatric Continus 100mg tablets (Napp Pharmaceuticals Ltd)"
"14608611000001106","550511000001101","Aminophylline hydrate 350mg modified-release tablets","Aminophylline","Phyllocontin Forte Continus 350mg tablets (Napp Pharmaceuticals Ltd)"
